uuid,missing_concept
95ba3acc-859b-4a99-8c30-b38a91a1be28,Umbellula sp. 2
0c4bdb90-c715-4c01-81d1-aa7f49534ac7,Ophiuroidea
f3c2db31-4d74-40e8-a59d-3d451e61acbe,Ophiuroidea
42babe53-0a16-4712-a1b0-7fd6a91e0dbd,cardboard
51dd2956-94d2-4a16-bfc0-697744651406,Bathyraja trachura
51dd2956-94d2-4a16-bfc0-697744651406,Psathyrometra fragilis
948c7039-be54-4bdc-a101-b8b8ddbb4b0b,Psathyrometra fragilis
948c7039-be54-4bdc-a101-b8b8ddbb4b0b,Tritonia
a1cacab5-cc97-4370-a3eb-28cfb9f9b993,Embassichthys bathybius
a1cacab5-cc97-4370-a3eb-28cfb9f9b993,Hormathiidae sp. 1
a1cacab5-cc97-4370-a3eb-28cfb9f9b993,Microstomus pacificus
fde25cf2-45a4-4118-8b3c-ea0376f17fe1,Crossaster borealis
fde25cf2-45a4-4118-8b3c-ea0376f17fe1,Hormathiidae sp. 1
fde25cf2-45a4-4118-8b3c-ea0376f17fe1,Microstomus pacificus
fde25cf2-45a4-4118-8b3c-ea0376f17fe1,Umbellula sp. 2
646507ba-9974-4bdd-9d75-ba0532070b49,Lophaster furcilliger
646507ba-9974-4bdd-9d75-ba0532070b49,Suction Sampler
7f14a981-f576-4fce-b513-2505af9843d7,Actiniidae sp. 1
7f14a981-f576-4fce-b513-2505af9843d7,Umbellula sp. 2
2720aa9c-5a14-4031-8cb8-47f216a10792,Parmaturus xaniurus
8f4f1d89-c388-4f21-8a54-c5753f4e30c2,Actiniidae sp. 1
8f4f1d89-c388-4f21-8a54-c5753f4e30c2,Embassichthys bathybius
8f4f1d89-c388-4f21-8a54-c5753f4e30c2,Hormathiidae sp. 1
8f4f1d89-c388-4f21-8a54-c5753f4e30c2,Paguroidea
8f4f1d89-c388-4f21-8a54-c5753f4e30c2,Umbellula sp. 2
24d90ab4-96cc-49a9-ad33-3715ea4b5ca6,Sebastidae
e9d9c5ce-2d08-4626-9148-76c8eeb5cbe0,Actinostolidae
e9d9c5ce-2d08-4626-9148-76c8eeb5cbe0,Actinostoloidea
e9d9c5ce-2d08-4626-9148-76c8eeb5cbe0,Pagurus tanneri
c034cbf1-77a1-4205-aaf1-57fded0bf14f,Corallimorphus
cceab459-2939-47a8-8f43-555fc046017e,Psathyrometra fragilis
9e3ab5f5-75b8-4358-b1e2-304ceffd0c1a,Neoloricata
6a62fed1-52d8-4c6c-80d5-1ef13b18554c,Corallimorphus
b9a697d9-12e0-408d-976a-39fc476ecef0,Corallimorphus
f2f732f0-2e7a-4d7a-9d78-8f2036fef34a,Corallimorphus
f2f732f0-2e7a-4d7a-9d78-8f2036fef34a,Neoloricata
55bb2e5e-a9c1-42c1-b008-079221f07a26,Corallimorphus
